symbol,side,entry_time,entry,exit_time,exit,exit_reason,net_bps
GS,short,2020-01-15,207.82757786627488,2020-01-15,210.83878417973747,stop,-150.88964094072853
MS,long,2019-08-08,33.32353131288599,2019-08-14,32.15341975744692,stop,-357.13672211162014
MS,long,2019-12-04,39.591827815435806,2019-12-06,40.80348502404442,target,300.03719895352157
MA,short,2019-09-10,270.36309097208857,2019-09-10,261.43938293494136,target,324.0638413720625
MA,short,2020-01-15,300.7743621792884,2020-01-16,305.89025700317944,stop,-176.09078788575493
XOM,short,2019-09-17,54.47073488373182,2019-09-20,53.05253519476594,target,254.35993308940022
UNH,long,2019-08-29,202.63104281870116,2019-09-12,204.12135314941406,time,67.54797715009242
UNH,long,2020-01-15,258.5886225523889,2020-01-15,265.12445631483587,target,246.75024469117113
UNH,short,2019-12-23,262.5343118451322,2020-01-03,255.84543620908565,target,248.78100706288976
LLY,long,2019-09-11,103.04720641796222,2019-09-16,100.68015540970177,stop,-235.7055000850412
LLY,long,2019-10-24,99.10156677800414,2019-10-28,102.48894116495924,target,335.80835854423106
LLY,short,2019-11-27,109.15658520421033,2019-12-05,111.04906051486319,stop,-179.3725278335174
LLY,short,2019-12-23,122.74898610560417,2020-01-07,122.86026000976562,time,-15.06515871876179
JNJ,short,2019-08-28,106.07376343328008,2019-09-11,107.88728971393363,stop,-176.96841122208772
JNJ,short,2019-10-03,109.20967846473552,2019-10-07,110.96333606974565,stop,-166.57712371860822
JNJ,short,2019-12-23,121.74485811521426,2020-01-06,119.38790142568601,target,187.59804808328883
PFE,long,2020-01-31,25.788782701251893,2020-02-03,26.546707604914772,target,287.8971228083931
PFE,short,2019-12-18,26.95851845597112,2019-12-26,27.34128260514263,stop,-147.98263520921682
MRK,long,2019-09-11,62.810773523668765,2019-09-19,64.8602691144746,target,320.2968239092823
MRK,long,2019-10-29,64.91973177659729,2019-10-30,66.77415047662436,target,279.6479300328174
MRK,short,2019-12-23,71.41530501793929,2020-01-07,70.05606498898916,target,184.32895380180602
WMT,long,2019-08-07,32.34798645323766,2019-08-15,34.18088093909481,target,560.6177981454234
WMT,short,2019-11-15,36.65643637640022,2019-11-25,35.824334331595836,target,221.0002561787765
WMT,short,2019-12-23,36.67440085075356,2020-01-03,36.033380528008145,target,168.78685619270018
COST,long,2019-08-07,243.42838414077733,2019-08-07,239.733237318891,stop,-157.79605430685416
COST,short,2019-08-29,270.6214212262977,2019-09-06,275.8502857741826,stop,-199.216949500552
DIS,long,2019-08-07,130.04403533771273,2019-08-07,127.6624942686919,stop,-189.13343344323107
DIS,long,2020-01-15,141.27504501490938,2020-01-21,139.25212631966437,stop,-149.19009383656712
DIS,short,2019-11-15,141.81191067767674,2019-11-26,146.2549584020896,stop,-319.3056809671975
NKE,long,2019-08-07,72.73434054546416,2019-08-08,75.10637638280741,target,320.123234163449
NKE,long,2020-01-28,91.13178316185807,2020-01-30,89.70801188246168,stop,-162.23213219340238
NKE,short,2019-09-26,82.9954757844926,2019-09-30,84.72200461468287,stop,-214.0268609669056
NKE,short,2019-10-02,82.859571266246,2019-10-07,84.60786179109152,stop,-216.99439667964015
MCD,short,2019-12-23,169.8290846509017,2020-01-02,171.6586753143471,stop,-113.73129156329553
CRM,long,2019-12-04,157.65252061261253,2019-12-04,154.58907190516265,stop,-200.31650667847245
CRM,long,2019-12-06,155.41129576578254,2019-12-18,160.4514197031507,target,318.308726243685
ADBE,long,2019-09-19,280.1700134277344,2019-09-24,273.0093739379896,stop,-261.5819376291579
AVGO,long,2019-09-26,23.35739892772602,2019-10-03,22.69922430901636,stop,-287.7842092547329
AVGO,short,2020-01-27,27.121185312689228,2020-01-29,27.696008636278282,stop,-217.94623942933254
QCOM,short,2019-08-26,63.908532149154894,2019-08-30,65.86446443186587,stop,-312.0518239013943
QCOM,short,2019-09-06,67.37273248147706,2019-09-19,67.27981567382812,time,7.791456012932635
QCOM,short,2019-11-08,77.38512453706939,2019-11-08,79.32084695416506,stop,-256.14141008048887
MU,short,2019-09-12,49.53696687262175,2019-09-24,47.139515768710446,target,477.9721232985572
MU,short,2019-12-16,51.44823523593914,2019-12-16,52.89582410767436,stop,-287.36803237208244
MU,short,2019-12-18,51.68227276264485,2019-12-19,53.64229406324096,stop,-385.24440931567995
INTC,short,2019-10-14,45.529985568621704,2019-10-25,47.538926088995176,stop,-447.2346051253735
NFLX,long,2019-09-06,29.334999084472656,2019-09-10,28.444837527137427,stop,-309.446935441154
